objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-27322,433,Tress Ring,"Pennanular, Hollow Triangular Section)",,,Bronze Age,p0gjgrs6qb2,,"The Bowes Museum, Barnard Castle, Co. Durham,Museum registration number: 1958/1864",,,The Bowes Museum,"England,Yorkshire,North Riding,Startforth",,,,Startforth,,England,County Durham,"Startforth, Barnard Castle, County Durham Dl12, UK",54.5406176,-1.9407713,O.S. Map Reference 45/037156,,,,38,,,,,"One side outer surface decorated. The other outer surface is undecorated except for several lines scratched across surface and outer ridge, near side opening.",,"Length: Diam. 1 1/2"" = 38.1mm",Gold,Found with two bronze swords.,"Penannular gold ornament, decorated with incised markings.",,,Joellen McGann,https://farm8.staticflickr.com/7499/15318883033_e4448de4df_z.jpg,https://farm8.staticflickr.com/7499/15318883033_e4448de4df_b.jpg,https://www.flickr.com/photos/MicroPasts/15318883033,superuser,ornamentsA15
BAI-27725,64,Razor,Tanged,,,Bronze Age,p0gjgrs6qb2,IA,Grantham Museum,,,Grantham Museum,"England,Leicestershire,Stathern",,,,Stathern,,England,Leicestershire,"Stathern, Melton Mowbray, Leicestershire Le14, UK",52.8721086,-0.8549394,,,,,66,30,,15.340,"dark bluish green,}seems to have been rubbed between the fingers of the finder whilst it was fresh from the ground & soft.",smooth,2.5,,Bronze,"found with bones in a Pygrey or ""Incense"" Cup (decorated)",,Inventaria Archaeologia G.B. 4th set No 21,,Hugh Fiske,https://farm9.staticflickr.com/8571/15920253596_8755af9112_z.jpg,https://farm9.staticflickr.com/8571/15920253596_8755af9112_b.jpg,https://www.flickr.com/photos/MicroPasts/15920253596,superuser,toolsA8
BAI-11712,433,Haft-Flanged Axe ,Variant with shelving slot,,,Bronze Age,p0gjgrs6qb2,,"Salisbury, S. Wilts and Blackmoor, 29",29,,Blackmoor Museum,"England,Wiltshire,Staunton St. Bernard",,,,Staunton St. Bernard,,England,Wiltshire,"Stanton St Bernard, Pewsey, Wiltshire Sn9, UK",51.3649969,-1.86305063320496,,,,,101,21,30,,Pale green and brown,"Very warty. Pitted, decayed and broken.",5,"Width: edge 30mm; middle 22mm; butt 21mm,Thickness: 5mm; 21mm",,,Very bad condition,,,Joellen McGann,https://farm6.staticflickr.com/5565/14980382595_ac47046851_z.jpg,https://farm6.staticflickr.com/5565/14980382595_ac47046851_b.jpg,https://www.flickr.com/photos/MicroPasts/14980382595,superuser,flangedAxesA1
BAI-11183,64,flanged Axe,Haft,,,Bronze Age,p0gjgrs6qb2,,"Yorkshire Museum, York",,,Yorkshire Museum,"England,Derbyshire,Staveley,Staveley Marsh",,,,Staveley,,England,Derbyshire,"Staveley (derbyshire), Duke Street (n-bound), Staveley, Chesterfield, Derbyshire S43, UK",53.2683482,-1.3495224,,,,,126,"edge 52,middle 24,butt 22",,212.62,dull green,"much corroded on face, blade eaten away",8. 30. 14.,,,,,,,Hugh Fiske,https://farm4.staticflickr.com/3862/14792121939_3d6e3a1583_z.jpg,https://farm4.staticflickr.com/3862/14792121939_3d6e3a1583_b.jpg,https://www.flickr.com/photos/MicroPasts/14792121939,superuser,flangedAxesA1
BAI-13174,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"Stradling Collection (?),Drawing in Taunton Castle Museum",,,Stradling Collection,"England,Somerset,Stawell",,,,Stawell,,England,Somerset,"Stawell, Bridgwater, Somerset Ta7, UK",51.140672,-2.910496,,,,,131,21,,,,Blade tip missing,,,,,,,MJR,Joellen McGann,https://farm6.staticflickr.com/5584/15156513026_ddc51b9c92_z.jpg,https://farm6.staticflickr.com/5584/15156513026_ddc51b9c92_b.jpg,https://www.flickr.com/photos/MicroPasts/15156513026,only good record,DrawerA14
BAI-11780,433,Flanged Celt,,,,Bronze Age,p0gjgrs6qb2,,"Yorkshire Museum, York",,,Yorkshire Museum,"England,Yorkshire E.R.,Staxton",,,,Staxton,,England,North Yorkshire,"Staxton, Scarborough, North Yorkshire Yo12, UK",54.1993785,-0.4441521,,,,,120,24,60,198,Red brown to green.,Corroded in places.,12,"Width: edge 60mm; middle 28mm; butt 24mm,Thickness: 12mm; 14mm,Weight: 198.45 gms",,,"The sides are cable moulded, this is nearly hammered away. On the traces of raised shallow lines. Edge chipped, otherwise sharp.",,,Joellen McGann,https://farm4.staticflickr.com/3866/14793771548_82fd572ac8_z.jpg,https://farm4.staticflickr.com/3866/14793771548_82fd572ac8_b.jpg,https://www.flickr.com/photos/MicroPasts/14793771548,superuser,flangedAxesA1
BAI-11779,433,Wing-flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,Yorkshire Museum,,,Yorkshire Museum,"England,Yorkshire,Staxton",,,,Staxton,,England,North Yorkshire,"Staxton, Scarborough, North Yorkshire Yo12, UK",54.1993785,-0.4441521,,,,,135,25,50,326,Apple green and golden bronze.,Blade very corroded.,9,"Width: edge 50mm; middle 25mm; butt 25mm,Thickness: 9mm; 37mm; 5mm,Weight: 326.02 gms",,,Flanges cracked in casting. Sides not rubbed.,,,Joellen McGann,https://farm4.staticflickr.com/3835/14793771908_c67583ca59_z.jpg,https://farm4.staticflickr.com/3835/14793771908_c67583ca59_b.jpg,https://www.flickr.com/photos/MicroPasts/14793771908,superuser,flangedAxesA1
BAI-11337,433,Wing-flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection O 1183,Now in The London Museum",O 1183,,Museum of London,"England,Greater London,Stepney,Tower of London (off),Thames ballast",,,river,Stepney,,England,Greater London,"Tower Of London, St Katharine's & Wapping, London Ec3n 4ab, UK",51.5057967,-0.0705771,,,,,119,28,56,,"Very dark green, almost black - Golden bronze just shows.",Smooth,9,"Length: 118.5mm,Width: edge 56mm; middle 29mm; butt 27.75mm,Thickness: 9.35mm; 32.5mm; 34.5mm",,,,,Inacc.,Joellen McGann,https://farm6.staticflickr.com/5576/14976757921_92f58d9098_z.jpg,https://farm6.staticflickr.com/5576/14976757921_92f58d9098_b.jpg,https://www.flickr.com/photos/MicroPasts/14976757921,superuser,flangedAxesA1
BAI-10381,,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"IV B, H, i (notations in pencil in upper right),  London Museum B.302,  (Tower Collection),  Now in Tower (in pencil),  Now Royal Armouries, Leeds",,,Private Collection,"England,  thames, london, stepney, river thames opposite the tower",,,river,Stepney,,England,Greater London,Tower Of London,51.5081201,-0.07622237194643050,,,,,293,59,,340,Bronze,Smooth,15,Drawing from 4 views,Socket broken [Bronze (from below)],,Socket broken,Archaeologia LXI page 66 fig 30,,Anon.,https://farm6.staticflickr.com/5583/14728657637_f4ce571f41_z.jpg,https://farm6.staticflickr.com/5583/14728657637_f4ce571f41_b.jpg,https://www.flickr.com/photos/MicroPasts/14728657637,most detailed record,riverThames
BAI-11272,433,Wing-flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection,O 1183,Now in The London Museum",AO 1183,,Museum of London,"England,Greater Lonson,Stepney,Tower of London (off),Thames ballast",,,river,Stepney,,England,Greater London,"Stepney, London E1, UK",51.5174023,-0.0462189,,,,,119,28,56,,Very dark green. Almost black - Golden bronze just shown.,Smooth,9,"Length: 118.5mm,Width: edge 56mm; middle 29mm; butt 27.75mm,Thickness: 9.25mm; 32.5mm; 34.5mm",,,,,Inacc.,Joellen McGann,https://farm6.staticflickr.com/5555/14792283578_d70e3f2e95_z.jpg,https://farm6.staticflickr.com/5555/14792283578_d70e3f2e95_b.jpg,https://www.flickr.com/photos/MicroPasts/14792283578,superuser,flangedAxesA1
