PASID,objectType,broadperiod,periodFromName,periodToName,fromdate,todate,description,notes,workflow,materialTerm,secondaryMaterialTerm,subsequentActionTerm,discoveryMethod,datefound1,datefound2,TID,rallyName,weight,height,diameter,thickness,length,quantity,identifier,recorder,regionName,county,district,parish,fourFigure,gridSource,fourFigureLat,fourFigureLon,objectID,knownas,filename,imageLabel,imageCopyrightHolder,imageLicense,imageURL,thumbnail
1021386,Unidentified Object,Bronze Age,Bronze Age,IRON AGE,-1600,40,"A complete cast copper-alloy unidentified 'moustache-shaped' object of probable middle Bronze Age to Iron Age date. The centre of the object is narrowed with a convexly curved upper edge and is rounded and hollow underneath. A vertically aligned circular perforation extends through it. To either side is a tapering tear-dropped shaped element that is D-shape in cross-section and has rounded edges and pointed ends, one of which is broken with an old uneven break. These elements are flat on the underside and are attached to the central section via a step-down. The pronouncedly curved upper surface of the elements are decorated with a series of grooved striations along their length.



The object is 24mm long, 22mm wide and weighs 10 grams.



There is little dating evidence available for these enigmatic objects. An example was found with the Salisbury Hoard, indicating a Bronze or Iron Age date; the style might suggest an Iron Age date.



Such objects are of uncertain date but comparable objects recorded on the Portable Antiquities Scheme database include NMS-A0C513, NARC-6A4546, LVPL-B000C6, HAMP-6F4C45, PUBLIC-E9E1C5, NARC-925E14, WILT-616785, KENT-77A0BF and SF-722CF5.",Recorded during the COVID-19 pandemic with information and images provided by the finder.,4,Copper alloy,,Returned to finder,Metal detector,2019-09-30T23:00:00Z,2019-10-31T00:00:00Z,,,10,,,,24,1,Dot Boughton,Matthew Fittock,Eastern,Hertfordshire,East Hertfordshire,Walkern,TL2925,From finder,51.9086067,-0.12611729,BH-BD3AFC,,BHBD3AFC.jpg,Bronze Age to Iron Age unidentified object,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/mfittock/BHBD3AFC.jpg,https://finds.org.uk/images/thumbnails/1141830.jpg
1021395,Spearhead,Bronze Age,Bronze Age,BRONZE AGE,-1500,-1150,"An incomplete cast copper-alloy Middle Bronze Age socketed spearhead dating to the period 1500-1150 BC.



The spearhead has a leaf-shaped blade that tapers towards the rounded tip, with a raised cross-sectional rib from tip to base. The wings are bevelled and gradually expand before tapering inwards at the narrowest point of the shaft. The wing edges are very worn and damaged in several places. 



The shaft is broadly sub-conical and circular in cross-section. It increases in diameter from the narrowest point to the open-ended socket. Small loops project part way along the shaft either side.



The surfaces of the spearhead have mid green patination with several areas of lamination revealing mid brown underneath. Pits and abrasions are evident across all surfaces.



The spearhead measures 70mm in length and 13mm wide. It weighs 14.05 grams.



This spearhead is part of the Acton Park 2, Taunton (Cemmaes) or Pennard metalworking traditions and is dated to the Middle Bronze Age, between c. 1500 - 1150 BC. Several similar spearheads of this type are recorded on the Portable Antiquities Scheme database. These include BH-33B8C2 from Chenies, Buckinghamshire, IOW-E56A3F from Calbourne on the Isle of Wight, and BH-FB08EE from Cople, Bedford.",Recorded during the COVID-19 pandemic with information and images provided by the finder.,3,Copper alloy,,Returned to finder,Metal detector,2020-02-08T00:00:00Z,2020-02-08T00:00:00Z,,,14.05,,,,70,1,Matthew Fittock,Matthew Fittock,East Midlands,Northamptonshire,South Northamptonshire,Brafield on the Green,SP8256,From finder,52.1961475,-0.80172581,BH-BE0B05,,BHBE0B05acomplete.jpg,Middle Bronze Age Acton Park 2 socketed spearhead,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/mfittock/BHBE0B05acomplete.jpg,https://finds.org.uk/images/thumbnails/1136417.jpg
1021454,Flat Axehead,Bronze Age,Bronze Age,BRONZE AGE,-2200,-1900,"Early Bronze Age fragmentary bronze flat axe of uncertain type perhaps contemporary with Type Migdale axes  as defined by Schmidt & Burgess (1981, p 35-44)[1], of Metalworking Assemblage III, corresponding to Needham’s (1996)[2] Period 2 -3 and probably dating to c. 2,200 – 1,900BC.



The axe comprises a worn blade fragment (with a surviving length of 39.7mm and a weight of 63.6g). The break has occurs in antiquity across the thickest surviving part of the axe (where the axe has a width of 27mm and a thickness of 7.3mm). The sides are worn and corroded but appear to have been straight and divergent but widening more sharply at the blade. The blade tips have been lost (giving the blade a surviving width of 40.8mm). Both blade faces are gently convex across their width and flat across their lengths, before narrowing more sharply at a poorly defined blade facet. The original blade edge has been lost but now has a comparatively deep curve. The surface is heavily-pitted and corroded with a dark-green patina with areas of bright-green active corrosion. 





The fragmentary state of the object makes any definite identification difficult and typological identification more problematic. The general form, with a lack of developed features and straight, divergent sides are broadly consistent with Type Migdale axes, dating to the Early Bronze Age (c. 2200 – 1900BC). Metallurgical Analysis was undertaken by Mary Davis[3], with three readings taken from a micro-sample and analysed by Scanning Electron Microscope with Energy Dispersive X-ray Spectroscopy; minor and trace element analysis is included; although possibly inaccurate, particularly when below 0.1%, but give an indication of presence and absence, which researchers are finding significant for analyses of Early Bronze Age material. The results indicate a tin-bronze with significant trace elements of zinc and lead. The measured percentage results are:






	

		

			

			
Fe

			

			

			
Co

			

			

			
Ni

			

			

			
Cu

			

			

			
Zn

			

			

			
As

			

			

			
Ag

			

			

			
Sn

			

			

			
Pb

			

			

			
Total

			

		

		

			

			
0.02

			

			

			
0.01

			

			

			
0.05

			

			

			
89.86

			

			

			
0.58

			

			

			
0.12

			

			

			
0.06

			

			

			
9.08

			

			

			
0.22

			

			

			
100.00

			

		

	











[1] Schmidt, P.K. & Burgess, C. 1981; The Axes of Scotland and Northern Ireland, Praähistorische Bronzefunde Abteilung IX, 7. Band 7



[2] Needham, S. 1996; Chronology and Periodisation in the British Bronze Age , Acta Archaeologica 67, p. 121-140



[3] Principal Analytical Services Officer, Amgueddfa Cymru – National Museum Wales",,4,Copper alloy,,Returned to finder,Metal detector,2014-11-09T00:00:00Z,,,,63.6,,,7.3,39.7,1,Mark Lodwick,Mark Lodwick,Wales,Swansea,Swansea,Mawr,SN6304,,51.71794523,-3.98460825,NMGW-C256C0,,2015402.jpg,Early Bronze age flat axe,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/gwhatley/2015402.jpg,https://finds.org.uk/images/thumbnails/1131212.jpg
1021539,Awl,Bronze Age,Bronze Age,MEDIEVAL,-1250,1500,A cast copper-alloy tool possibly an awl or scriber and of potential Middle Bronze Age to Medieval date (1250 BC to AD 1500). The object is 54mm in length; one end is square-sectioned and the other has a rounded section and tapers to a pointed tip,"
Simple awls or tools like this were used to make holes in leather and wood. Their form changes little from the Bronze Age to Medieval periods and they are consequently very difficult to date.



Recorded from details emailed by the finder.
",4,Copper alloy,,Returned to finder,Metal detector,,,,,,,,,54,1,Simon Maslin,Simon Maslin,South East,Hampshire,Test Valley,Kimpton,SU2847,From finder,51.22151388,-1.60044773,HAMP-111DF0,,HAMP111DF0.jpg,,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/smaslinhct/HAMP111DF0.jpg,https://finds.org.uk/images/thumbnails/1131557.jpg
1021611,Axehead,Bronze Age,Bronze Age,BRONZE AGE,-750,-600,"Copper alloy fragment, probably a blade edge fragment from a Bronze Age axe of undetermined type and date but possibly a fragment of a Late Bronze Age socketed axe



The axe is fragmentary, represented by a side fragment of a blade edge only (with a surviving width of 17.1mm, a surviving length of 25.5mm, a maximum surviving may possibly have broken across the base of a socket, possibly suggested by a depression on the break. Only a very short part of the blade edge survives (7mm). The casting seam is evident on the surviving side, with the suggestion that the sides are angled to the centre. The side is slightly convex across its surviving length. Both face are slightly convex across their lengths with no discernible blade facet or ribs surviving. The surface is corroded with some surviving dark green patina.





The fragmentary state of the object makes identification difficult and typological identification indeterminate. Although it is possible to tentatively suggest the base of a socket on the fragment and together with angled sides, indicating a hexagonal body section may indicate a socketed axe of Late Bronze Age date, c. 750 – 600BC.",,4,Copper alloy,,Returned to finder,Metal detector,,,,,,,,,25.5,1,Mark Lodwick,Mark Lodwick,Wales,the Vale of Glamorgan,the Vale of Glamorgan,Penllyn,SS9775,,51.4645671,-3.48411224,NMGW-155FEB,,2015512.jpg,Bronze age axehead fragment,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/gwhatley/2015512.jpg,https://finds.org.uk/images/thumbnails/1131695.jpg
1022059,Socketed Axehead,Bronze Age,Bronze Age,BRONZE AGE,-1000,-800,"An incomplete copper alloy facetted socketed axehead dating to 1000BC- 800BC. Flanking both faces of the axe is a wide, flat based channel that emanates from the tips of the blade.  Running the length of the axe, each channel gently expanding to the rear collar and gives the axe an overall hexagonal cross-section. Further decoration can be found on both sides where six transverse grooved lines are positioned before the collar. The Collar is undecorated and gently curves out at its base to form an expanded flanged terminal. 



On the side of the axe is a loop that is made from a rectangular arched band that has two channels running its length.  These loops are normally positioned to run lengthways down the axe; however, this example has the loop positioned transversely across the axe. 



The position of the loop in very uncommon, but this is one other example recorded on this database, see DOR-3F8141.","
This item was recorded by images supplied by the finder 
",4,Copper alloy,,Returned to finder,Metal detector,2020-05-31T23:00:00Z,2020-12-01T00:00:00Z,,,,,,34,125,1,Kurt Adams,Kurt Adams,South West,Gloucestershire,Stroud,Uley,ST7796,From finder,51.66230565,-2.33392242,GLO-68DD0F,,GLO68DD0F3.JPG,,Bristol City Council,Attribution License,https://finds.org.uk/images/kadams/GLO68DD0F3.JPG,https://finds.org.uk/images/thumbnails/1132588.jpg
1022391,Palstave,Bronze Age,Bronze Age,BRONZE AGE,-1100,-750,"Late Bronze Age bronze ‘Late’ Palstave of Type Isleham as defined by Schmidt & Burgess (1981, p 158-163)[1], dated to late Wilburton or Ewart Park metalworking industries (ibid.) and dated to perhaps 1100 – 750BC



The palstave is near-complete, with some peripheral damage to the flanges (with a length of 136.6mm, and a weight of 304.1g). The butt is straight and like the septum, is thick (with a width of 19.6mm and a thickness of 6.5mm). The sides are straight and gently divergent as far as the stop (where it has a width of 25.1mm). The loop begins before the stop and continues on to the side of the blade (with a length of 26.0mm, a width of 8.8mm, a height of 9.1mm and giving an overall width of 29.7mm). The palstave narrows slightly to the blade (at 19.5mm), after which the sides are gradually divergent and produce a slightly expanded blade edge, with some damage and loss to the blade tips (with a blade edge width of 33.6mm). The casting seams are evident on both sides and have been neatly finished but are more-finished and barely discernible on the sides of the blade. The flanges rise from well below the butt (13mm) and rise linearly to reach their maximum depth (of 31.1mm) at the stop.  The stop is comparatively straight and is perpendicular to the septum (with a height of 9.6mm). The thick septum is enhanced on both faces with three parallel ribs, beginning at the stop and ending before the flanges start (with a length of 34mm). Both blade faces are decorated with three short, parallel ribs (19.1mm long) beginning beneath the stop. The stop is raised above the blade (3.2mm high) with a near-perpendicular bevel to the blade faces. The blade faces are straight and convergent, before converging more sharply to the blade edge but with a subtle but discernible blade facet. Hammer facets are evident on the blade and occasional striations, possibly from sharpening. The surface has a mid to dark green and black patina with areas of bright green corrosion. 



The palstave has many of the characteristic attributes of ‘Late’ palstaves and the ribbed blade decoration with nipped-in waist under the stop, suggests Type Isleham. The continuation of the ribs on the septum is an unusual feature and is difficult to parallel. The ribbed septum would have helped to eliminate rotational movement when hafted. 





[1] Schmidt, P.K. & Burgess, C. 1981; The Axes of Scotland and Northern Ireland, Praähistorische Bronzefunde Abteilung IX, 7. Band 7",,3,Copper alloy,,Returned to finder,Metal detector,,,,,304.1,,,31.1,136.6,1,Mark Lodwick,Mark Lodwick,,Rhondda Cynon Taf,Rhondda Cynon Taf,Pont-y-Clun,ST0679,,51.50209122,-3.35566098,NMGW-E9E53C,,201591.jpg,Bronze Age late palstave,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/gwhatley/201591.jpg,https://finds.org.uk/images/thumbnails/1133649.jpg
1022521,Socketed Axehead,Bronze Age,Bronze Age,BRONZE AGE,-1000,-600,"Late Bronze Age socketed axe mouth fragment of undetermined type and probably of Ewart Park or Llyn Fawr metalworking industries, c. 1000 –600BC



The axe is fragmentary, represented by a mouth and upper face and side fragment (with a surviving length of 27.1mm, a surviving width of 23.5mm, a surviving depth of 8mm and a weight of 13.5g) with all of the breaks occurring in antiquity. The mouth is rounded (6.5mm thick and 8mm long) with no casting runner stubs present on the mouth.  Beneath the collar is a horizontal moulding on the mouth and side. The face (with a thickness of 4mm) has the top of two of the three ribs descending from the moulding and continuing to the break. The face is flat across its width and its length, beneath the collar. The side has a slight angle, perhaps suggesting a hexagonal body section on the axe. There is no evidence for a loop on the side. The socket is flat across both its length and width.  





The fragmentary condition of the axe makes typological identification difficult. The horizontal moulding beneath the collar indicates that the axe was not of South Wales Type but may be of Type Welby, Type Yorkshire or other similar types of Ewart Park metalworking but also may possibly of Sompting or allied types of Llyn Fawr metalworking.",,3,Copper alloy,,Returned to finder,Metal detector,,,,,13.5,,,8,27.1,1,Mark Lodwick,Mark Lodwick,Wales,the Vale of Glamorgan,the Vale of Glamorgan,Wenvoe,ST1373,,51.44927745,-3.25335867,NMGW-3D42CC,,20151043.jpg,Bronze age socketed axe fragment,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/gwhatley/20151043.jpg,https://finds.org.uk/images/thumbnails/1134177.jpg
1022532,Spearhead,Bronze Age,Bronze Age,BRONZE AGE,-1500,-1100,"Middle Bronze Age bronze socketed spearhead of Davis’ (2012)[1] Group 6: Developed side-looped, unclassified (Greenwell and Brewis (1909)[2] Class IV (or socket -looped)) spearheads and of later Arreton, Acton Park, Taunton or early Wilburton metalworking (c. 1500 – 1100BC), of Needham’s (1996)[3] Periods 4-5



The spearhead is incomplete missing both most of blade and the socket mouth (with a surviving length of 70.2mm and a weight of 28.5g). The socket was circular, with a small fragment of the simple rim surviving (with a maximum surviving internal diameter of 14.0mm and an external diameter of 16.7mm). The socket continues to the break across the blade. The sides of the socket are near-straight and gradually convergent. One of the loops is complete and is flat-topped of linear form (20mm long by 3mm wide), which begin 20mm from the socket mouth. The perforations beneath the loops are slender and oval (4.0-5mm long and 2mm high). Both sides have a ridge, running between the mouth and the base of the loop. Between the top of the loop and the base of the blade are five to six short horizontal incised lines, perhaps referencing or accommodating the binding. Only a small part of the blade survives (with a surviving length of 18.6mm and maximum surviving width of 45.6mm) but the gentle curve may suggest a leaf-shaped blade. The damaged blade edge with a blade facet is evident and survives on one side. Above the loop, the socket becomes increasingly oval-sectioned and defines a prominent midrib along the blade, as far as the break (with a thickness at the break of 9.5mm). The break occurred in antiquity and the socket (4.9mm diameter) is off-centre at the break (with a minimum thickness of 0.4mm). The spearhead has been neatly finished with no casting flashes evident. The surface of the spearhead is partially-preserved with a dark brown patina. Sharpening striations are evident beneath the patina running along the blade on the better preserved face. 





Group 6, side-looped spearheads have a long-lived production, spanning the end of Arreton in the Early Bronze Age to Wilburton at the beginning of the Late Bronze Age. A side-looped spearhead of Davis’ (2012) Group 6, Type A was found in the Thames at Mortlake, now in the Museum of London[4], and had remnants of the wooden shaft surviving. The shaft was radiocarbon dated by Needham et al (1997, DOB 31)[5] to 1680 – 1400BC (with 95% confidence). A Group 6, Type D spearhead from Tormarton, Gloucestershire has two radiocarbon dates (1390 – 1010BC and 1310-1057BC) (Davis 2012, ibid. p 7). Most Group 6 spearheads however are likely to date from Acton Park and Taunton industries. 







[1] Davis, R., 2012; The Early and Middle Bronze Age Spearheads of Britain, Praähistorische Bronzefunde Abteilung V. Band 5.



[2] Greenwell, W. & Brewis, W.P. 1909, The origin, evolution and classification of the bronze spear-head in Great Britain and Ireland, Archaeologia 61: 439-472. 



[3] Needham, S. 1996; Chronology and Periodisation in the British Bronze Age, Acta Archaeologica 67, p. 121-140



[4] Accession number: A11811



[5] Needham, S., Bronk Ramsey, C., Coombs, D., Cartwright, C., Pettitt, P.; 1997; An Independent Chronology for British Bronze Age Metalwork: The Results of the Oxford Radiocarbon Accelerator Programme; Archaeological Journal 154, p. 55-107",,4,Copper alloy,,Returned to finder,Metal detector,,,,,28.5,,16.7,,70.2,1,Mark Lodwick,Mark Lodwick,Wales,Rhondda Cynon Taf,Rhondda Cynon Taf,Pont-y-Clun,ST0680,,51.51108015,-3.35592786,NMGW-3DF2CB,,2015110.jpg,Bronze Age Spearhead,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/gwhatley/2015110.jpg,https://finds.org.uk/images/thumbnails/1134192.jpg
1022877,Spearhead,Bronze Age,Bronze Age,BRONZE AGE,-1200,-1050,"A complete Bronze Age cast copper-alloy spearhead of basal-looped triangular form, 106.35mm in length. The blade is triangular, with a pair of small loops at the junction between the lower blade edge and the socket. The root of the blade juts out at right angles from these loops. The socket is conical, continuing along the blade as a broad rib with circular cross section, with the flat blade projecting to either side. There are possibly small ribs running along the blade from the ends of the loops which are aligned with the midrib, however the condition of the object makes these very difficult to see clearly. The patina is dark, with pale patches of corrosion / encrustation typical of long exposure to a riverine environment. This spearhead is likely to date from circa 1200 to 1050 BC.","The style can potentially be identified as Davis Type 9c (also identifiable as Greenwell and Brewis IIIa) and is seen as an indigenous development from earlier leaf-shaped Middle Bronze Age forms which is associated with the Penard industry. This dates to the transition from the middle to late Bronze Age. This is a relatively rare tradition, with finds typically concentrated in the lower Thames Valley (Pearce, 1984: 41; Ehrenberg, 1977: 11), as with this example, which was a foreshore find from the Thames and may have originally comprised a votive deposit in the river. Similar examples from the upper Thames valley are published in Ehrenberg (1977: Fig 17) and more generally in Langmaid (1976, 52; 18a/b). This is an unusually small example of the type.



Recorded from details emailed by the finder.",3,Copper alloy,,Returned to finder,Metal detector,2021-02-27T00:00:00Z,,,,58.5,,,,106.35,1,Simon Maslin,Simon Maslin,London,Greater London Authority,Kensington and Chelsea,Queen's Gate,TQ2677,From finder,51.47793502,-0.18702426,SUR-CB84D2,,SURCB84D2.jpg,,Surrey County Council,Attribution License,https://finds.org.uk/images/smaslin/SURCB84D2.jpg,https://finds.org.uk/images/thumbnails/1135120.jpg
