PASID,objectType,broadperiod,periodFromName,periodToName,fromdate,todate,description,notes,workflow,materialTerm,secondaryMaterialTerm,subsequentActionTerm,discoveryMethod,datefound1,datefound2,TID,rallyName,weight,height,diameter,thickness,length,quantity,identifier,recorder,regionName,county,district,parish,fourFigure,gridSource,fourFigureLat,fourFigureLon,objectID,knownas,filename,imageLabel,imageCopyrightHolder,imageLicense,imageURL,thumbnail
925513,Spearhead,Bronze Age,Bronze Age,BRONZE AGE,-1500,-800,"A cast copper-alloy spear tip dating to the Bronze Age (c. 1500-800 BC). The tip is sub-triangular in plan and oval in cross-section. Both faces are bowed slightly and thin to form the slightly recessed edges. The tip tapers to a point. The surfaces have a mid-green patina. It measures 36mm in length, 16mm in width, a maximum of 3.5mm thick. It weighs 6.54 grams.",,4,Copper alloy,,Returned to finder,Metal detector,2017-11-17T00:00:00Z,2017-11-17T00:00:00Z,,,6.54,,,3.5,36,1,Matthew Fittock,Matthew Fittock,Eastern,Hertfordshire,North Hertfordshire,Wallington,TL2934,GPS (from the finder),51.98948027,-0.12274292,BH-450A72,,BH450A72A.jpg,Bronze Age spear tip,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/mfittock/BH450A72A.jpg,https://finds.org.uk/images/thumbnails/1036517.jpg
926618,Ring,Bronze Age,Bronze Age,BRONZE AGE,-1600,-1000,"Probable Middle Bronze Age cast copper alloy ring, convex outside edge, both faces concave, central perforation. External diameter 21mm. Internal diameter 5.5mm. Thickness 6.5mm. Weighs 12.05g. 1600 - 1000 BC",,4,Copper alloy,,Returned to finder,Metal detector,2018-09-17T23:00:00Z,2018-10-14T23:00:00Z,,,12.05,,21,6.5,,1,Steven Ashley,Steven Ashley,,Norfolk,King's Lynn and West Norfolk,Fincham,TF6705,,52.61709006,0.46536354,NMS-E8D159,,63018_E8D159_BA_Ring.jpg,Probable Middle Bronze Age ring,Norfolk County Council,Attribution License,https://finds.org.uk/images/awilliamsnorfolk/63018_E8D159_BA_Ring.jpg,https://finds.org.uk/images/thumbnails/1108815.jpg
926828,Rapier,Bronze Age,Bronze Age,BRONZE AGE,-1275,-1020,"Fragment of a cast copper alloy narrow rapier, rectangular in plan and lozenge-shaped in profile and section, with a raised broad mid-rib on both faces. The surface is heavily pitted and corroded on one side so that less of the dark brown patina survives. The cutting edges of the fragment are also jagged and damaged. The fragment dates from the Middle Bronze Age, but to be sure of its date, it will need more metallurgical analysis.



Rohl and Needham (1998) illustrate some similar rapiers with broad mid-ribs on p.132, fig.34, nos.189-190, which are Group IV rapiers, and date from the Penard phase of metalwork, c.1275-1150 BC. 



Knight, Ormrod & Pearce (2015) illustrate rapiers with narrow blades and broad mid-ribs from Sennen in Cornwall and Exmouth in Devon on p.98, pl.25, nos.71 & 134.



Dr Matt Knight's research has suggested that rapiers carried on in use over longer periods of time where early swords did not develop. This is true of Scotland, but also of the South West so it is possible to suggest that rapiers continued to be used in these areas into the Wilburton (c.1150-1020 BC) phase of the late Middle Bronze Age (Matt Knight pers comm).",,4,Copper alloy,,Undergoing further examination at a museum,Metal detector,2018-09-12T23:00:00Z,2018-09-12T23:00:00Z,,,31.39,,,5.5,75,1,Anna Tyacke,Anna Tyacke,South West,Cornwall,Cornwall,Gweek,SW7026,Generated from computer mapping software,50.08948628,-5.21680296,CORN-0A6EBC,,rapier.JPG,Group IV rapier fragment (plan),Royal Institution of Cornwall,Attribution License,https://finds.org.uk/images/atyacke/rapier.JPG,https://finds.org.uk/images/thumbnails/1034885.jpg
926829,Flat Axehead,Bronze Age,Bronze Age,BRONZE AGE,-2200,-1850,"Fragment of a cast copper alloy flat axehead, comprising part of the blade, trapezoidal in plan, triangular in profile and rectangular in section, at the narrow broken end, dating from the Early Bronze Age c.2200-1850 BC.. The opposite blade end tapers to a rounded and damaged edge in profile which may have expanded outwards to form the cutting edge. The blade is broad and straight sided but as it is worn and incomplete, may have expanded into a more crecentic cutting edge. The surface of the blade is covered with a brown patina and both faces are decorated with straight lines punched into the axe after casting, about 5mm in length, and about 1mm apart, in what is referred to as a 'rain pattern'. One face of the blade has a transverse gash where it has been damaged since deposition, which cuts through the outer layer, revealing the light green corroded surface beneath which is also exposed on parts of the edges. The blade may have been deliberately broken at the upper edge, before it thickens and potentially flanges outwards towards the butt end, as the break is straight and may have been struck with a chisel prior to deposition as it is now corroded and worn.



Comparable examples of decorated flat axeheads with more spaced out linear incisions from the Southwest can be found in Pearce (1983) on a Migdale flat axehead from Southleigh in Devon (pp.455 & 600, pl.39, no.297) and a low-flanged flat axehead from Mount Pleasant in Dorset (pp.468 & 609, pl.48, no.371). See also record CORN-C53643 where the decoration covers the whole axe and is more regular and evenly spaced like this example and the developed flat axehead from Preston Down, Weymouth (pp.487 & 621, pl.60, no.480).



Flat axes decorated with this 'rain pattern' without flanged sides can be found during the Mile Cross-Aylesford phase (c.2050-1850 BC) of the Early Bronze Age, such as the Class 3 axes illustrated in 'The Circulation of Metal in the British Bronze Age: The Application of Lead Isotope Analysis' (Rohl & Needham 1998, 124, fig.25, nos.47-48).



Schmidt & Burgess (1981) illustrate similar flat axeheads with rain patterns from Colleonard Farm, Banffshire, Scotland in pl.16, nos.199 & 202 which are classified as Type Migdale, Decorated Variant, and dated from the Migdale metalworking tradition (c.2200-1950 BC), and a similar concentrated pattern on a developed flat axehead from Middleton-on-the-Wolds, Yorkshire in pl.27, no.310, which is classified as Type Aylesford and dated from the Mile Cross-Aylesford metalwork phase (c.2050-1850 BC) of the Early Bronze Age.",,4,Copper alloy,,Undergoing further examination at a museum,Metal detector,2018-09-24T23:00:00Z,2018-09-24T23:00:00Z,,,75.36,,,9,47,1,Anna Tyacke,Anna Tyacke,South West,Cornwall,Cornwall,St. Erth,SW5732,Generated from computer mapping software,50.13817856,-5.40203551,CORN-0AB468,,DSCN6966.JPG,flat axehead (decoration),Royal Institution of Cornwall,Attribution License,https://finds.org.uk/images/atyacke/DSCN6966.JPG,https://finds.org.uk/images/thumbnails/1035195.jpg
926830,Axehead Roughout,Bronze Age,Bronze Age,BRONZE AGE,-2200,-2000,"Incomplete cast copper alloy axehead roughout or blank, triangular in plan and lozenge-shaped in profile and section, dating from the Early Bronze Age. The sides of the axe were once straight but are now abraded and taper towards the narrow butt end which is worn to almost a point. The surface of the roughout has developed a dark brown patina and the sides have exposed the light green corrosion product beneath through wear and damage since deposition.



Schmidt & Burgess (1981) illustrate similar rough flat axes with narrow butt ends and straight sides from Birnie, Morayshire and Angus in Scotland in plate 21, nos.258-259, which are unclassified but close to Type Migdale associated with the Migdale metalworking tradition c.2200-2000 BC of the Early Bronze Age.



Needham (2017) illustrates a similar axe-like blank or ingot on page 61, no.119 which are found within the Irish flat axe corpus but are more crudely shaped ingots in the flat axe form, presumably created in an open mould but perhaps incomplete.","Material has been drilled out of the side of the axehead for analysis by the finder which was analysed by Dr Jens Andersen of Camborne School of Mines using the Scanning Electron Microscope. The analysis was carried out by electron-probe microanalysis using wavelength dispersive x-ray spectrometers with a 20 nA electron beam accelerated to 15 kV focused to a 5 micron beam size. The metal contained:



90-92 wt% copper, 4.5-7 wt% arsenic, 2.1-2.8 wt% tin and traces of nickel (0.1 wt%) but no lead, zinc, silver, gold, antimony, cobalt or iron.",4,Copper alloy,,Returned to finder,Metal detector,2018-07-14T23:00:00Z,2018-07-14T23:00:00Z,,,300,,,11,125,1,Anna Tyacke,Anna Tyacke,South West,Cornwall,Cornwall,St. Just,SW3734,GPS (from the finder),50.14759941,-5.6827182,CORN-0B05E7,,DSCN6973.JPG,axehead blank,Royal Institution of Cornwall,Attribution License,https://finds.org.uk/images/atyacke/DSCN6973.JPG,https://finds.org.uk/images/thumbnails/1035191.jpg
927080,Socketed Axehead,Bronze Age,Bronze Age,BRONZE AGE,-1100,-800,"A fragment of a probable Late Bronze Age socketed axehead, probably dating to c. 1100-800 BC. The sub-rectangular fragment comprises of a sction of the mouth and socket wall; the mouth appears to have been flaring, with a moulded collar beneath, but with no other indication of decoration on the surviving fragment. The cross-section of the fragment suggests an original cross-section which was relatively pronouncedly sub-hexagonal. 



Dimensions: Length 38.9mm; width: 17.1mm; thickness at mouth 6.8mm; thickness at socket 4.9mm; weight: 16.46g. 



The cross section of the peice would suggest a late Bronze Age, rather than early Iron Age date; although it is too fragmentary for precise classification.",,4,Copper alloy,,Returned to finder,Metal detector,,,,,16.46,,,,38.9,1,Jane Hanbidge,Jane Hanbidge,South West,Wiltshire,Wiltshire,West Tisbury,ST9128,,51.05127417,-2.1297745,WILT-2D8B05,,WILT2D8B05.jpg,WILT-2D8B05,Salisbury and South Wiltshire Museum,Attribution License,https://finds.org.uk/images/sophaw123/WILT2D8B05.jpg,https://finds.org.uk/images/thumbnails/1051016.jpg
927189,Rapier,Bronze Age,Bronze Age,BRONZE AGE,-1500,800,"
Fragment of a copper-alloy cast blade, possibly from a rapier. The blade point is Bronze Age in date, though not enough of the artefact remains to more precisely date it to within this period. The item is an elongated triangular shape, with a narrowed end. There is a central midrib.
",,4,Copper alloy,,Returned to finder,Metal detector,2017-12-23T00:00:00Z,,,Metal Detectives Xmas Dig 2017,7.1,,,4,33,1,Dr. Lindsey Smith,Dr. Lindsey Smith,South East,Oxfordshire,West Oxfordshire,"Aston, Cote, Shifford and Chimney",SP3702,Recorded at a rally,51.71551524,-1.46584068,BERK-3E8051,,BERK3E8051Rapiertipcopy.jpg,Bronze Age: Rapier tip,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/bertie123/BERK3E8051Rapiertipcopy.jpg,https://finds.org.uk/images/thumbnails/1038731.jpg
927569,Spearhead,Bronze Age,Bronze Age,BRONZE AGE,-1400,-800,"A fragment of the tip of a late middle to late Bronze Age socketed spear, 75.2mm in length. The blade is narrow and was originally probably leaf shaped. It has a pronounced rib with lozengiform cross sectional profile 7.9mm thick. Possibly of pegged or looped type. Circa 1400 BC - 800 BC.","For more complete comparable examples see WILT-96D3A6, WILT-DAEC0E and NMS-ABA4C6.",4,Copper alloy,,Returned to finder,Metal detector,2018-11-17T00:00:00Z,,,,19.17,,,7.9,75.2,1,Simon Maslin,Simon Maslin,South West,Wiltshire,Wiltshire,,SU0744,From finder,51.19517776,-1.90120483,SUR-55F5B5,,SUR55F5B5.jpg,Late Bronze Age spear tip,Surrey County Council,Attribution License,https://finds.org.uk/images/smaslin/SUR55F5B5.jpg,https://finds.org.uk/images/thumbnails/1035299.jpg
927593,Spearhead,Bronze Age,Bronze Age,BRONZE AGE,-1600,-1400,"A complete copper alloy spear dating to the Middle Bronze Age (c. 1600-1400 BC). The spearhead is broadly sub-triangular in plan and profile with a sub-oval/leaf-shaped blade with a pronounced mid-rib on both faces. The socket is hollow and has cast side loops roughly half way up the socketed end on opposing sides. The spear head has broken across the near centre of the blade. The two pieces were found about 60cm apart. The blade edges are chipped and the mid-rib also shows signs of wear. The object has a smooth dark brown to olive green patina which is pitted in places.



This form of leaf-shaped spear with side-loops can be classified as Greenwell and Brewis Class IV. Similar objects recorded on the PAS database include: SWYOR-A609BB; LIN-0DDC06; and LANCUM-D63A53.



The overall dimensions are as follows: 118mm in length, 20mm in width and 17mm in depth.","
Photographs and dimensions kindly supplied by the finder.
",4,Copper alloy,,Returned to finder,Metal detector,2018-10-26T23:00:00Z,,,,,,,17,118,1,Susheela Burford,Susheela Burford,West Midlands,Staffordshire,East Staffordshire,Tutbury,SK2126,GPS (from the finder),52.83111733,-1.68974858,WMID-56E2E4,,WMID56E2E4_1.jpg,A Bronze Age Spear,Birmingham Museums Trust,Attribution License,https://finds.org.uk/images/sburford/WMID56E2E4_1.jpg,https://finds.org.uk/images/thumbnails/1035300.jpg
927641,Awl,Bronze Age,Bronze Age,BRONZE AGE,-1500,-800,"A complete though worn copper-alloy awl of probable late Bronze Age date, c. 1500 - 800 BC. The object is sub-square in section at the middle and widest point tapering to worn rounded points to either end. The object is undecorated.



The metal has a mid-green patina and is worn. The object is 51.6mm long, 6.2mm wide, 6.1mm thick and weighs 5.2g.



Plain copper alloy awls are hard to date precisely but examples of this form are thought to have been introduced in the Bronze Age (2150-800 BC) with most being Late Bronze Age in date (1500-800 BC).",,3,Copper alloy,,Returned to finder,Metal detector,,,,,5.2,,,6.1,51.6,1,Rebecca Griffiths,Rebecca Griffiths,Eastern,Norfolk,Breckland,Beetley,TF9717,From finder,52.71478368,0.91509137,YORYM-58688E,,LF0008.jpg,Bronze Age : Awl,York Museums Trust,Attribution License,https://finds.org.uk/images/bmorris/LF0008.jpg,https://finds.org.uk/images/thumbnails/1036850.jpg
