objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-28905,727,Rapier,Trump's II Wandsworth,,,Bronze Age,p0gjgrs6qb2,B,"Brentford Public Library, Layton Collection, O 1302, Now in Museum of London",O1302,,Museum of London,Locality unknown (believed Thames),,,,,,,,,,,,,,,468,See description,,,slight stains of black in places,golden bronze,See description,,,,"Width as: ""blade 22, hilt plate 60""  Thickness as: ""blade 7"", Very good condition.  2 rivet-holes, one broken; 2 rivets",B.A.V. Trump P.P.S. 1962 No. 5 p 96 [124],,Marla Walcott,https://farm9.staticflickr.com/8629/16079337278_f6e4052d77_z.jpg,https://farm9.staticflickr.com/8629/16079337278_f6e4052d77_b.jpg,https://www.flickr.com/photos/MicroPasts/16079337278,most detailed record,dirkspart2
BAI-28904,727,Rapier,Trump's II Wandsworth,,,Bronze Age,p0gjgrs6qb2,B,"Brentford Public Library, Layton Collection, O 1300, now in Museum of London",O1300,,Museum of London,Locality unknown (believed Thames),,,,,,,,,,,,,,,687,See description,,,golden brown with black stains,,See description,"Lower left corner: in pencil, ""OK""",,,"Width as: “blade 26 hilt plate 75“  Thickness as: ""blade 7"", 2 rivets, sharp edges, slightly bent, otherwise perfect condition",B.A.V. Trump P.P.S. 1962 No. 5 p. 96 [120],,Marla Walcott,https://farm8.staticflickr.com/7461/15644445114_c611f8c573_z.jpg,https://farm8.staticflickr.com/7461/15644445114_c611f8c573_b.jpg,https://www.flickr.com/photos/MicroPasts/15644445114,most detailed record,dirkspart2
BAI-28903,727,Dagger,"Incised, Ogival",,,Bronze Age,p0gjgrs6qb2,Ogival,"Brentford Public Library, Layton Collection, O 1285, Now in Museum of London",O1285,,Museum of London,Locality unknown (believed Thames),,,,,,,,,,,,,,,165,See description,,,"dirty green, much lighter on reverse where patina is chipped off",,See description,,,,"Width as: ""blade 27  hilt plate 54.5"".  Thickness as: ""blade 4.25"", One rivet 18 mm long.  Slightly raised midrib.  A deep surface hole near point.",,,Marla Walcott,https://farm8.staticflickr.com/7569/15646967933_4656c4f8c0_z.jpg,https://farm8.staticflickr.com/7569/15646967933_4656c4f8c0_b.jpg,https://www.flickr.com/photos/MicroPasts/15646967933,most detailed record,dirkspart2
BAI-62217,580,Rod,,,,Bronze Age,p0gjgrs6qb2,,"Cyfartha Castle Museum.,Merthys Tydfil. ?91,obtained 1911.",,,Cyfarthfa Castle Museum,locality unknown,,,,,,,,,,,,,,,231,,,72,blackish green.,,9; 8,,,,,,,Denis Antoine,https://farm8.staticflickr.com/7363/26981637182_6c865428be_b.jpg,https://farm8.staticflickr.com/7363/26981637182_6c865428be_b.jpg,https://www.flickr.com/photos/115096994@N02/26981637182,superuser,DubiousBA
BAI-62341,433,Unknown,,,,Bronze Age,p0gjgrs6qb2,,"National Museum of Science and Art, Dublin,Plate XIV, 275, W70","XIV, 275, W70",,"National Museum of Science & Art, Dublin",Locality unknown,,,,,,,,,,,,,,,19,9,,9.365,,,,,Gold,,Portion of an object consisting of a circular bar with wire work lapped round it. The ends have been cut.,,,Joellen McGann,https://farm8.staticflickr.com/7434/27075969135_0736ca50dd_b.jpg,https://farm8.staticflickr.com/7434/27075969135_0736ca50dd_b.jpg,https://www.flickr.com/photos/115096994@N02/27075969135,superuser,DubiousBA
BAI-62340,433,Ring,,,,Bronze Age,p0gjgrs6qb2,Medeival,"National Museum of Science and Art, Dublin,Plate XIV 241, W256","XIV 241, W256",,"National Museum of Science & Art, Dublin",Locality unknown,,,,,,,,,,,,,,,,24 x 17,,12.215,,,,,Gold,,Half of the hoop of a ring. The bezel is formed by three large raised nobs. The loop is ornamented with incised lines. Some bronze rings of the same type are in the collection. Their age is uncertain.,"For possible parallel, see I.R.S.A.I. 90(1960), p. 37 Bronze ring from Heathstown, G. Laith",,Joellen McGann,https://farm8.staticflickr.com/7202/27007606981_1fc94defb1_b.jpg,https://farm8.staticflickr.com/7202/27007606981_1fc94defb1_b.jpg,https://www.flickr.com/photos/115096994@N02/27007606981,superuser,DubiousBA
BAI-62339,433,Finger Ring,,,,Bronze Age,p0gjgrs6qb2,Viking,"National Museum of Science and Art, Dublin,Plate XIV 237, P832,Formerly in Dr. Petrie's collection",P832,,"National Museum of Science & Art, Dublin",Locality unknown,,,,,,,,,,,,,,,,26,,5.105,,,,,Gold,,Made of 3 plaited wires with a small flat oval bezel - this is ornamented with dots in the form of a cross. (It belongs to the Viking period),,,Joellen McGann,https://farm8.staticflickr.com/7229/26470580104_5e8ba2dce4_b.jpg,https://farm8.staticflickr.com/7229/26470580104_5e8ba2dce4_b.jpg,https://www.flickr.com/photos/115096994@N02/26470580104,superuser,DubiousBA
BAI-62338,433,Finger Ring,,,,Bronze Age,p0gjgrs6qb2,Viking,"National Museum of Science and Art, Dublin,Plate XIV 238, P833,Formerly in the collection of Dr. G. Petrie",P833,,"National Museum of Science & Art, Dublin",Locality unknown,,,,,,,,,,,,,,,,29 x 28,,12.595,,,,,Gold,,Made of three plaited wires with a small flat bezel,,,Joellen McGann,https://farm8.staticflickr.com/7150/26472373693_6cefe19702_b.jpg,https://farm8.staticflickr.com/7150/26472373693_6cefe19702_b.jpg,https://www.flickr.com/photos/115096994@N02/26472373693,superuser,DubiousBA
BAI-13569,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,II,"Bodmin Museum, Cornwall,H. Famand, 1843",,,Bodmin Museum,Locality unknown,,,,,,,,,,,,,,,101,16,18,42,Dark green patina and well worn,,18,"Width: blade 18mm; socket 16mm,Thickness: socket 18mm",,,,,,Joellen McGann,https://farm6.staticflickr.com/5564/15179239852_8da45abdb9_z.jpg,https://farm6.staticflickr.com/5564/15179239852_8da45abdb9_b.jpg,https://www.flickr.com/photos/MicroPasts/15179239852,superuser,DrawerA14
BAI-13566,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"British Museum, 56.6-27.43,Purchased 1856",1856.6-27.43,,British Museum,Locality unknown,,,,,,,,,,,,,,,246,13,34,192,Slight patina green.,Dull bronze. Finely scratched,10,"Width: blade 34mm; 50.5mm; tang 13mm,Thickness: blade 10mm,Weight: 192.11 gms",,,Sharp central ridge. Bordered with 3 narrow and two wide lines each side. Edges much broken. Tang broken at rivet hole.,,,Joellen McGann,https://farm6.staticflickr.com/5569/14992958710_62bc934584_z.jpg,https://farm6.staticflickr.com/5569/14992958710_62bc934584_b.jpg,https://www.flickr.com/photos/MicroPasts/14992958710,superuser,DrawerA14
