objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-63802,580,Mould,,,,Bronze Age,p0gjgrs6qb2,,"Sotheby's Sale, 19. 11. 24, 672.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.",,,Private Collection,"Ireland, Antrim, Ballymena (near)",,,auction,,,Ireland,County Antrim,"Ballymena, United Kingdom",54.8662966,-6.2760159,,,,,62,middle 38.5,,,,"smooth, polished - dark green with traces of earth.",14,,stone,,On the back is a flat hollow.,,,Denis Antoine,https://farm9.staticflickr.com/8742/27984905200_6e5913eb3d_z.jpg,https://farm9.staticflickr.com/8742/27984905200_6e5913eb3d_b.jpg,https://www.flickr.com/photos/115096994@N02/27984905200,only good record,IrishAxesB5
BAI-63801,580,Mould,,,,Bronze Age,p0gjgrs6qb2,,"Sotheby's Sale, 19. 11. 24, 672.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.",,,Private Collection,"Ireland, Antrim, Ballymena (near).",,,auction,,,Ireland,County Antrim,"Ballymena, United Kingdom",54.8662966,-6.2760159,,,,,87.5,51; 34,,,,"smooth, mostly dark green, blackish stains.",,,stone,,,,,Denis Antoine,https://farm9.staticflickr.com/8659/27650435583_56a3535025_z.jpg,https://farm9.staticflickr.com/8659/27650435583_56a3535025_b.jpg,https://www.flickr.com/photos/115096994@N02/27650435583,only good record,IrishAxesB5
BAI-63800,580,Mould,,,,Bronze Age,p0gjgrs6qb2,,"Sotheby's Sale, 19. 11. 24, 669.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.",,,Private Collection,"Ireland, Antrim, Ballymena (near)",,,auction,,,Ireland,County Antrim,"Ballymena, United Kingdom",54.8662966,-6.2760159,,,,,119,middle 43,,,,smooth polished pale green,33,,,,,,,Denis Antoine,https://farm9.staticflickr.com/8896/27650436213_5551a24ca4_z.jpg,https://farm9.staticflickr.com/8896/27650436213_5551a24ca4_b.jpg,https://www.flickr.com/photos/115096994@N02/27650436213,only good record,IrishAxesB5
BAI-63733,580,flanged Axe,Haft,,,Bronze Age,p0gjgrs6qb2,,"Sotheby's Sale, 19. 11. 24, 611.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.",,,Private Collection,"Ireland, Antrim, Ballymena (near)",,,auction,,,Ireland,County Antrim,"Ballymena, United Kingdom",54.8662966,-6.2760159,,,,,112,middle 23; butt 20,41,,"some patches of patina, light green.",pitted & rough on edges. dull bronze.,10; 23,,,,Two cuts in wings.,,,Denis Antoine,https://farm9.staticflickr.com/8855/28187598431_73834dc5ac_z.jpg,https://farm9.staticflickr.com/8855/28187598431_73834dc5ac_b.jpg,https://www.flickr.com/photos/115096994@N02/28187598431,superuser,IrishAxesB5
BAI-63732,580,flanged Axe,Haft,,,Bronze Age,p0gjgrs6qb2,,Vize Collection No 9. Sotheby's No. 70/3.,,,Private Collection,"Ireland, Co Antrim, Ballymena",,,auction,,,Ireland,County Antrim,"Ballymena, United Kingdom",54.8662966,-6.2760159,,,,,125,centre 31; butt 25,42,287.04,A suggestion of light green patina nearly all over,smooth & mostly bronze colour. A few tiny cast holes in one socket.,9; 27,,,,,,,Denis Antoine,https://farm8.staticflickr.com/7449/28187600961_242046d9b2_z.jpg,https://farm8.staticflickr.com/7449/28187600961_242046d9b2_b.jpg,https://www.flickr.com/photos/115096994@N02/28187600961,superuser,IrishAxesB5
BAI-63116,580,Flanged Celt,,,,Bronze Age,p0gjgrs6qb2,,"Vizé Collection, 7.,The property of Mr. Maycock, 15 Spencer Road, Putney (at Sotheby's 1921 No. 69/2)",,,Private Collection,"Ireland, Antrim, Ballymena",,,auction,,,Ireland,County Antrim,"Ballymena, United Kingdom",54.8662966,-6.2760159,,,,,108.5,butt 23,45.5,163,"dark brown patina, polished",smooth,11,,,,Sides slightly beaten up; thickening at centre for stop-ridge.,,,Denis Antoine,https://farm9.staticflickr.com/8781/27650571773_d485a4a7a7_z.jpg,https://farm9.staticflickr.com/8781/27650571773_d485a4a7a7_b.jpg,https://www.flickr.com/photos/115096994@N02/27650571773,superuser,IrishAxesB5
BAI-63103,580,flanged Palstave,Bent,,,Bronze Age,p0gjgrs6qb2,,"Sotheby's Sale, 19. 11. 24, 609,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.",,,Private Collection,"Ireland, Antrim, near Ballymena",,,auction,,,Ireland,County Antrim,"Ballymena, United Kingdom",54.8662966,-6.2760159,,,,,137.5,middle 28; butt 23.5,48,,"some thick dark brown, dull, on septum, stop & blade. Reminder is light green matte, golden bronze shows.","pitted, but a fair surface.",31.5; 7.5; 32,,,,,,,Denis Antoine,https://farm8.staticflickr.com/7468/28265948015_53ab8e1e06_z.jpg,https://farm8.staticflickr.com/7468/28265948015_53ab8e1e06_b.jpg,https://www.flickr.com/photos/115096994@N02/28265948015,superuser,IrishAxesB5
BAI-63102,580,Flanged Axe,Bent,,,Bronze Age,p0gjgrs6qb2,,"Sotheby's Sale, 19. 11. 24, 610,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.",,,Private Collection,"Ireland, Antrim, Ballymena (near), Foot of Slemish.",,,auction,,,Ireland,County Antrim,"Slemish, Ballymena Bt42, United Kingdom",54.8663168,-6.2691294,,,,,120,middle 29; butt 23,48,,"some light green, golden bronze shows",lightly pitted.,26; 10; 40,,,,Wings are cracked.,,,Denis Antoine,https://farm9.staticflickr.com/8716/27650575683_3aff44eafe_z.jpg,https://farm9.staticflickr.com/8716/27650575683_3aff44eafe_b.jpg,https://www.flickr.com/photos/115096994@N02/27650575683,superuser,IrishAxesB5
BAI-37781,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,T,"Herts. Cty. Mus., St. Albans,Ball Collection",,,Hertfordshire County Museum,"Ireland,Co. Donegal,Raphar [?Raphoe]",,,,,,Ireland,County Donegal,"Raphoe, Co. Donegal, Ireland",54.875645900000000,-7.6195469000264900,,,,,90,blade 25; socket 20.5,,28.35,No patina,"Rough, dark brown",blade 8; socket 21,,,,,,,Joellen McGann,https://farm8.staticflickr.com/7715/17164638402_49e072af0e_z.jpg,https://farm8.staticflickr.com/7715/17164638402_49e072af0e_b.jpg,https://www.flickr.com/photos/115096994@N02/17164638402,superuser,irishB15
BAI-63869,580,Wing-flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Sotheby's Sale, 19. 11. 24, 612.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.",,,Private Collection,"Ireland, Antrim, Cullybacky, Dreen. Label: found at Dreen Cullybackey",,,auction,,,Ireland,County Antrim,"Cullybackey, Ballymena Bt42, United Kingdom",54.8764748,-6.3203553,,,,,90.5,middle 24.5; butt 22.5,36,,,"smooth, dark bronze, stained black & golden bronze",23.5; 3; 23.5,,,,,,,Denis Antoine,https://farm9.staticflickr.com/8724/27650295504_36cf1a362d_z.jpg,https://farm9.staticflickr.com/8724/27650295504_36cf1a362d_b.jpg,https://www.flickr.com/photos/115096994@N02/27650295504,only good record,IrishAxesB5
