objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-13451,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,III,"Museum, Leeds Phil + Lit. Society",,,Museum of Leeds Philosophical and Literary Society,Unknown,,,,,,,,,,,,,,,68,19,31,52,,,13,Width: blade 30.5mm; socket 19mm,,,"Socket somewhat oval in section and projecting ribs on flat part of blade, meeting at the extreme point of socket; the point blunted, probably been broken in ancient time, the socket shortened and filed level. (Probably been used as a knife.)",,,Joellen McGann,https://farm4.staticflickr.com/3869/14993096597_d78215ef1b_z.jpg,https://farm4.staticflickr.com/3869/14993096597_d78215ef1b_b.jpg,https://www.flickr.com/photos/MicroPasts/14993096597,superuser,DrawerA14
BAI-13562,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"London Museum, Layton Collection, 0.1438",0.1438,,Museum of London, Possibly from the River Thames ,,,,,,,,,,,,,,,112,21,,,,"No patina, undamaged; socket holes at loops",,,,,,,MJR,Joellen McGann,https://farm4.staticflickr.com/3903/14992870009_74111a42ea_z.jpg,https://farm4.staticflickr.com/3903/14992870009_74111a42ea_b.jpg,https://www.flickr.com/photos/MicroPasts/14992870009,superuser,DrawerA14
BAI-13425,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,F,"Brentford Public Library,Layton Collection; 01433",1433,,Museum of London,Locality unknown,,,,,,,,,,,,,,,217,40,,,Black stains of patina on bronze.,,15,Thickness: blade 15mm; socket 23mm,,,Socket broken. Point bent. 2 holes for hafting.,,,Joellen McGann,https://farm6.staticflickr.com/5555/14993104867_54521ab399_z.jpg,https://farm6.staticflickr.com/5555/14993104867_54521ab399_b.jpg,https://www.flickr.com/photos/MicroPasts/14993104867,superuser,DrawerA14
BAI-13420,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,G,"Brentford Public Library,Layton Collection; 01456",1456,,Museum of London,Locality unknown,,,,,,,,,,,,,,,210,22,43,,"Dull patina, slate grey to black.",,16,"Width: Blade 43mm; socket 22mm,Thickness: blade 15.5mm; socket 21.5mm",,,Part of haft remains.,,,Joellen McGann,https://farm4.staticflickr.com/3903/14993106987_d13b764897_z.jpg,https://farm4.staticflickr.com/3903/14993106987_d13b764897_b.jpg,https://www.flickr.com/photos/MicroPasts/14993106987,superuser,DrawerA14
BAI-13418,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection,01450",1450,,Museum of London,Locality unknown,,,,,,,,,,,,,,,326,44,,,Traces of d. green patina with yellow and light green stains. Light soil.,,,,,,Diameter of socket 22mm,,,Joellen McGann,https://farm4.staticflickr.com/3891/14993107397_e85c0285ae_z.jpg,https://farm4.staticflickr.com/3891/14993107397_e85c0285ae_b.jpg,https://www.flickr.com/photos/MicroPasts/14993107397,superuser,DrawerA14
BAI-13417,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection, 01457",1457,,Museum of London,Locality unknown,,,,,,,,,,,,,,,207,37,,,d. Golden brown patina with black grey stains.,Water-worn.,,,,,Edge jagged and thin. Wood remaining in socket. Diameter of socket 25mm.,,,Joellen McGann,https://farm6.staticflickr.com/5562/14993013440_88fe7ee3ac_z.jpg,https://farm6.staticflickr.com/5562/14993013440_88fe7ee3ac_b.jpg,https://www.flickr.com/photos/MicroPasts/14993013440,superuser,DrawerA14
BAI-13416,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection; 01425",1425,,Museum of London,Locality unknown,,,,,,,,,,,,,,,156,46,,,Blackish patina.,,,,,,"Socket broken, blade bent. Diameter of socket at fracture 17mm.",,,Joellen McGann,https://farm6.staticflickr.com/5561/14993013260_b4ed1afc6e_z.jpg,https://farm6.staticflickr.com/5561/14993013260_b4ed1afc6e_b.jpg,https://www.flickr.com/photos/MicroPasts/14993013260,superuser,DrawerA14
BAI-13415,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection, 01454",1454,,Museum of London,Locality unknown,,,,,,,,,,,,,,,243,51,,,Black patina.,With mud adhering.,,,,,Part of shaft in socket (a long piece). Diameter of socket 25mm.,,,Joellen McGann,https://farm4.staticflickr.com/3865/15156641416_5bd236f445_z.jpg,https://farm4.staticflickr.com/3865/15156641416_5bd236f445_b.jpg,https://www.flickr.com/photos/MicroPasts/15156641416,superuser,DrawerA14
BAI-13414,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection, 01422",1422,,Museum of London,Locality unknown,,,,,,,,,,,,,,,273,53,,,Grey brown/black patina and golden bronze.,,,,,,Rivet still in socket.  Remains of shaft. Diameter of socket 23mm.,,,Joellen McGann,https://farm4.staticflickr.com/3873/15156641556_11af7f0af1_z.jpg,https://farm4.staticflickr.com/3873/15156641556_11af7f0af1_b.jpg,https://www.flickr.com/photos/MicroPasts/15156641556,superuser,DrawerA14
BAI-13413,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection,0",,,Museum of London,Locality unknown,,,,,,,,,,,,,,,212,43,,,Dull slate-grey black patina.,,,,,,Part of haft remaining. Diameter of socket 23mm.,,,Joellen McGann,https://farm6.staticflickr.com/5588/14993110867_80dbe57757_z.jpg,https://farm6.staticflickr.com/5588/14993110867_80dbe57757_b.jpg,https://www.flickr.com/photos/MicroPasts/14993110867,superuser,DrawerA14
BAI-13412,433,Spearhead,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection,01433",1433,,Museum of London,Locality unknown,,,,,,,,,,,,,,,217,40,,,Bronze patina with black stains.,,,,,,"Socket broken, point bent. Diameter of socket 22mm.",,,Joellen McGann,https://farm4.staticflickr.com/3894/15156642856_4c2d5d38b7_z.jpg,https://farm4.staticflickr.com/3894/15156642856_4c2d5d38b7_b.jpg,https://www.flickr.com/photos/MicroPasts/15156642856,superuser,DrawerA14
