objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-4293,433,Flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Nationalmuseet, Copenhagen, No. ?",,,"Nationalmuseet, Copenhagen",Denmark,,,,,,Denmark,,,,,,,,,106,20,51,151,,,10,"Site: Denmark, geolocation accuracy more than 10km ,  Length: 105.5,  Width: butt 19.5; edge 51",,,"Very badly decayed., Butt notched, one angle slightly damaged.",,"""moderated butt, Italian characteristics""",Joellen McGann,https://farm8.staticflickr.com/7441/13306223465_1083fce078_k.jpg,https://farm8.staticflickr.com/7441/13306223465_1083fce078_k.jpg,http://www.flickr.com/photos/MicroPasts/13306223465,superuser,drawB8
BAI-4292,433,Flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Nationalmuseet, Copenhagen, No. ?",,,"Nationalmuseet, Copenhagen",Denmark (?); no history given.,,,,,,Denmark,,,,,,,,,130,25,63,320,,,,Width: butt 25; edge 63,,,Square butt (? cut after manufacture); Shallow edge (? worn down).,,,Joellen McGann,http://farm8.staticflickr.com/7077/13306223545_45f1a98173_z.jpg,http://farm8.staticflickr.com/7077/13306223545_45f1a98173_b.jpg,http://www.flickr.com/photos/MicroPasts/13306223545,superuser,drawB8
BAI-4291,433,Flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Nationalmuseet, Copenhagen, No. ?",,,"Nationalmuseet, Copenhagen",Denmark (?),,,,,,Denmark,,,,,,,,,118,21,53,206,,,,Width: butt 21; edge 53,,,Butt shallow curve. Edge moderately expanded.,,,Joellen McGann,http://farm4.staticflickr.com/3784/13306224215_f7160b9e4f_z.jpg,http://farm4.staticflickr.com/3784/13306224215_f7160b9e4f_b.jpg,http://www.flickr.com/photos/MicroPasts/13306224215,superuser,drawB8
BAI-4290,433,Flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Nationalmuseet, Copenhagen, No. ?",,,"Nationalmuseet, Copenhagen",Denmark; no history given,,,,,,Denmark,,,,,,,,,138,27,60,292,,,,"Width: butt 27, edge 60",,,"Badly damaged and decayed, especially butt. Flanges bevelled. Edge expanded.",,,Joellen McGann,http://farm4.staticflickr.com/3765/13306584704_68c6e7a8cb_z.jpg,http://farm4.staticflickr.com/3765/13306584704_68c6e7a8cb_b.jpg,http://www.flickr.com/photos/MicroPasts/13306584704,superuser,drawB8
BAI-4289,433,Flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Nationalmuseet, Copenhagen, No. ?",,,"Nationalmuseet, Copenhagen",Denmark; no history given.,,,,,,Denmark,,,,,,,,,131,21,57,336,,generally decayed,,Width: butt 21; edge 57,,,Square butt. Scarcely flanged. Slight medial expansion of faces. Cutting edge damaged.,,,Joellen McGann,http://farm3.staticflickr.com/2808/13306375623_693c25b17f_z.jpg,http://farm3.staticflickr.com/2808/13306375623_693c25b17f_b.jpg,http://www.flickr.com/photos/MicroPasts/13306375623,superuser,drawB8
BAI-4287,433,Flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Nationalmuseet, Copenhagen, No. 11073",11073,,"Nationalmuseet, Copenhagen",Denmark; not listed,,,,,,Denmark,,,,,,,,,157,18,71,490,,,,Width: butt (broken) 18; edge 71,,,Hopelessly decayed.,,,Joellen McGann,http://farm4.staticflickr.com/3732/13306376073_2edb1e549e_z.jpg,http://farm4.staticflickr.com/3732/13306376073_2edb1e549e_b.jpg,http://www.flickr.com/photos/MicroPasts/13306376073,superuser,drawB8
BAI-4286,433,Flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Nationalmuseet, Copenhagen, No. 15102",15102,,"Nationalmuseet, Copenhagen",Denmark; no history given.,,,,,,Denmark,,,,,,,,,104,19,53,176,,,,Width: butt 19; edge 53,,,Very slightly flanged.,,,Joellen McGann,http://farm8.staticflickr.com/7019/13306376323_5ec90b2a37_z.jpg,http://farm8.staticflickr.com/7019/13306376323_5ec90b2a37_b.jpg,http://www.flickr.com/photos/MicroPasts/13306376323,superuser,drawB8
BAI-4270,433,Flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Nationalmuseet, Copenhagen, No. MLXX (a)",MLXX (a),,"Nationalmuseet, Copenhagen",Denmark; sjaelland (zealand); store heddinge,,,,,,Denmark,,"Store Headinge, Denmark",,,,,,,,,,,,,,,,,Well preserved and beautifully decorated.,"Sophus Muller. 'Oldliden Kunst Bronzealderon', p. 3. Fig. 8",,Joellen McGann,http://farm8.staticflickr.com/7003/13306229485_6a84454fc4_z.jpg,http://farm8.staticflickr.com/7003/13306229485_6a84454fc4_b.jpg,http://www.flickr.com/photos/MicroPasts/13306229485,superuser,drawB8
BAI-4261,433,Flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Nationalmuseet, Copenhagen",,,"Nationalmuseet, Copenhagen",Denmark,,,,,,Denmark,,,,,,,,,,,,,,,,"Card is composite list of 22 flanged axes from the National Museum in Copenhagen.  Details for the 22 items are listed under ""Description""",,,"Butt squarish., Sides straight or only slightly concave., Edge moderately expanded.,  No; Weight; Hundred; Parish; Form; Remarks,  26066; 493.5; Provenance unknown; Lines on face. ,  B4487; 623; Provenance unknown; No lines.,  B465; 476; Provenance unknown; Lines: butt damaged.,  9523; 436; Provenance unknown; No lines.,  8127; 325; Provenance unknown; Lines in two bands.,  B704; 944; Bornholm; Aalber [Aalborg?]; No lines; butt damaged.,  B494; 849; Sjaelland; Ebbelnord [?]; Lines; butt damaged.,  B3143; 370;  Provenance unknown; Corroded.,  B6816; 450; Ame [?]; Tommerup; Corroded.,  B3484; 552; Vester Flokkebjerg; Tjaereby; Corroded.,  B10789; 631; Provenance unknown; Corroded, very.,  16823; 677; Kalundborg; Corroded on surface; reverse triangle design, damaged.,  B10790; 614; Provenance unknown; Ripple decoration.,  ?; 109; Provenance unknown; flange [...],  B3888(a); 419; Stovring;Harridslev; too badly corroded for description.,  B3888 (b); 617.5; Stovring; Harridslev; Too badly corroded for description.,  B3888 (c); 908; Stovring; Harridslev; Well preserved, line decoration.,  B3888 (f); 452; Stovring; Harridslev; Decayed, markedly [...] Flange slight.,  B3888 (g); 271; Stovring;Harridslev; Decayed, markedly [...] Flanges slight.,  4558; 557; Selahandal [?]; No decription given.,  6428; 436; Provenance unknown; No description given.,  B10153; 92; Ars; Svallerup; No description given.",,Note: B3888 (d) and (e) are carded full size,Joellen McGann,http://farm4.staticflickr.com/3799/13306592174_b370d8bcc6_z.jpg,http://farm4.staticflickr.com/3799/13306592174_b370d8bcc6_b.jpg,http://www.flickr.com/photos/MicroPasts/13306592174,superuser,drawB8
BAI-4260,433,Flanged Axe,,,,Bronze Age,p0gjgrs6qb2,,"Nationalmuseet, Copenhagen",,,"Nationalmuseet, Copenhagen",Denmark,,,,,,Denmark,,,,,,,,,,,,,,Decoration is a factor independent of form.,,"This is a list of 22 flanged axes studied at the national museum in Copenhagen.  There is additional information about the 22 items available in the ""Description"" box.","All the Flanged Axes in the museum so far analysed have proved to be of COPPER, quite free of tin.",,"List of 22 Flanged Axes, 2 main types are represented in the summary lists:, Cf. MLXX(c) Carded full size, Cf. MLXX (b), For keeled flanges see B5155, For bevelled flanges, see B8688., See overleaf, Rounded butt,  Concave sides,  Expanded edge, Linear or ripple decoration frequent.,  No., Weight, Hundred (County); Parish; Form; Remarks,  B300; 459; Sjaelland; Horbelev; Ripple lines,  16201; 521; Falslev; Torkildstrup; flanges flat,  3151; 386; Maribo A.; [...]; flanges bevelled do slightly,  7328; 510.5; Provenance unknown; butt damaged,  8127; 325; Provenance unknown; do.,  9523; 436; Provenance unknown; plain,  B4487; 623; Provenance unknown; plain.,  B4481; 708; Provenance unknown; plain,  B9389; 110.5; Provenance unknown; plain; corroded,  B7838; 215; Provenance unknown; plain,  B9818; 432.5; Borglum; Bronderslev; Plain, corroded,  B3370; 268; Ramso; Ejby; Plain, badly corroded,  B7838; 214; Provenance unknown; Plain,  B465; 475; Provenance unknown; flanges very slight,  ?; 605; Provenance unknown; with lines badly corroded, butt damaged,  26066; 493; Provenance unknown; Butt almost square,  ?; 364; Provenance unknown; Butt almost square,  26059; 401.5; Provenance unknown; Butt rounded,  B4486; 709; Provenance unknown; Deep flanges, line decoration,  ?; 365; Provenance unknown; do.,  26051; 403; Jylland; Lyngby; Flanges shallower.,  ?; 617; Frederiksborg; Brandtant; flanges deep,  ,",,,Joellen McGann,http://farm4.staticflickr.com/3717/13306231375_0677755444_z.jpg,http://farm4.staticflickr.com/3717/13306231375_0677755444_b.jpg,http://www.flickr.com/photos/MicroPasts/13306231375,superuser,drawB8
